
2023 National Employment Matrix title,2023 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
Helpers--roofers[1],47-3016,25.9,46.2,16.4,4.7,4.8,1.1,1.0
"Helpers, construction trades, all other[1]",47-3019,25.9,46.2,16.4,4.7,4.8,1.1,1.0
Construction and building inspectors,47-4011,3.2,25.4,28.5,13.1,23.1,5.7,0.9
Elevator and escalator installers and repairers,47-4021,5.5,45.8,28.8,10.5,8.0,1.1,0.4
Fence erectors,47-4031,31.6,40.2,15.8,2.7,8.0,1.6,0.1
Hazardous materials removal workers,47-4041,15.6,38.5,22.6,11.4,9.9,1.5,0.4
Highway maintenance workers,47-4051,9.3,53.7,23.4,7.7,4.8,1.0,0.0
Rail-track laying and maintenance equipment operators,47-4061,6.3,48.4,31.4,8.6,3.8,1.5,0.0
Septic tank servicers and sewer pipe cleaners[1],47-4071,28.2,41.3,17.6,4.8,7.4,0.6,0.1
Miscellaneous construction and related workers[1],47-4090,28.2,41.3,17.6,4.8,7.4,0.6,0.1
"Derrick operators, oil and gas[1]",47-5011,21.1,44.7,17.2,6.4,8.7,1.6,0.2
"Rotary drill operators, oil and gas[1]",47-5012,21.1,44.7,17.2,6.4,8.7,1.6,0.2
"Service unit operators, oil and gas[1]",47-5013,21.1,44.7,17.2,6.4,8.7,1.6,0.2
"Excavating and loading machine and dragline operators, surface mining[1]",47-5022,19.6,54.4,17.1,5.0,3.7,0.2,0.0
"Earth drillers, except oil and gas[1]",47-5023,19.6,54.4,17.1,5.0,3.7,0.2,0.0
"Explosives workers, ordnance handling experts, and blasters",47-5032,12.2,44.4,27.9,7.7,5.3,2.5,0.0
Continuous mining machine operators[1],47-5041,10.8,54.0,19.9,9.3,5.2,0.4,0.3
"Roof bolters, mining[1]",47-5043,10.8,54.0,19.9,9.3,5.2,0.4,0.3
"Loading and moving machine operators, underground mining[1]",47-5044,10.8,54.0,19.9,9.3,5.2,0.4,0.3
"Underground mining machine operators, all other[1]",47-5049,10.8,54.0,19.9,9.3,5.2,0.4,0.3
"Rock splitters, quarry[1]",47-5051,16.4,55.8,18.0,4.5,4.7,0.6,0.0
"Roustabouts, oil and gas[1]",47-5071,21.1,44.7,17.2,6.4,8.7,1.6,0.2
Helpers--extraction workers[1],47-5081,16.4,55.8,18.0,4.5,4.7,0.6,0.0
"Extraction workers, all other[1]",47-5099,16.4,55.8,18.0,4.5,4.7,0.6,0.0
"First-line supervisors of mechanics, installers, and repairers",49-1011,6.3,35.6,29.7,13.6,11.8,2.7,0.3
"Computer, automated teller, and office machine repairers",49-2011,2.7,20.2,28.5,19.7,23.5,4.9,0.6
"Radio, cellular, and tower equipment installers and repairers[1]",49-2021,4.3,30.4,34.0,15.8,12.2,3.1,0.3
"Telecommunications equipment installers and repairers, except line installers[1]",49-2022,4.3,30.4,34.0,15.8,12.2,3.1,0.3
Avionics technicians,49-2091,2.2,20.9,33.0,33.6,9.3,1.0,0.0
"Electric motor, power tool, and related repairers",49-2092,5.7,34.1,27.7,25.0,7.1,0.2,0.2
"Electrical and electronics installers and repairers, transportation equipment[1]",49-2093,4.8,31.2,29.8,22.1,10.2,1.0,1.0
"Electrical and electronics repairers, commercial and industrial equipment[1]",49-2094,4.8,31.2,29.8,22.1,10.2,1.0,1.0
"Electrical and electronics repairers, powerhouse, substation, and relay[1]",49-2095,4.8,31.2,29.8,22.1,10.2,1.0,1.0
"Electronic equipment installers and repairers, motor vehicles[1]",49-2096,4.8,31.2,29.8,22.1,10.2,1.0,1.0
Audiovisual equipment installers and repairers,49-2097,7.6,34.2,33.4,15.0,8.1,1.5,0.2
Security and fire alarm systems installers,49-2098,5.9,39.1,30.1,12.1,10.9,1.7,0.2
Aircraft mechanics and service technicians,49-3011,3.1,28.6,33.3,24.0,9.1,1.8,0.1
Automotive body and related repairers,49-3021,23.9,48.4,16.8,7.0,3.2,0.7,0.0
Automotive glass installers and repairers,49-3022,13.1,42.8,32.4,7.5,3.4,0.7,0.0
Automotive service technicians and mechanics,49-3023,15.9,43.7,22.6,13.1,3.9,0.6,0.2
Bus and truck mechanics and diesel engine specialists,49-3031,11.8,46.5,23.6,13.9,3.6,0.3,0.1
Farm equipment mechanics and service technicians[1],49-3041,11.4,44.4,24.6,14.7,4.2,0.4,0.4
"Mobile heavy equipment mechanics, except engines[1]",49-3042,11.4,44.4,24.6,14.7,4.2,0.4,0.4
Rail car repairers[1],49-3043,11.4,44.4,24.6,14.7,4.2,0.4,0.4
Motorboat mechanics and service technicians[1],49-3051,13.8,46.3,21.2,12.0,5.8,0.8,0.0
Motorcycle mechanics[1],49-3052,13.8,46.3,21.2,12.0,5.8,0.8,0.0
Outdoor power equipment and other small engine mechanics[1],49-3053,13.8,46.3,21.2,12.0,5.8,0.8,0.0
Bicycle repairers[1],49-3091,20.8,44.5,19.0,8.8,5.8,0.8,0.3
Recreational vehicle service technicians[1],49-3092,20.8,44.5,19.0,8.8,5.8,0.8,0.3
Tire repairers and changers[1],49-3093,20.8,44.5,19.0,8.8,5.8,0.8,0.3
Mechanical door repairers[1],49-9011,10.6,38.8,30.7,13.0,6.7,0.3,0.0
"Control and valve installers and repairers, except mechanical door[1]",49-9012,10.6,38.8,30.7,13.0,6.7,0.3,0.0
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,10.1,39.2,29.5,14.4,5.9,0.7,0.3
Home appliance repairers,49-9031,13.2,38.6,27.1,9.0,8.9,2.5,0.6
Industrial machinery mechanics[1],49-9041,9.1,40.2,26.4,16.8,6.6,0.7,0.2
"Maintenance workers, machinery",49-9043,5.5,50.6,23.3,14.4,4.9,1.3,0.1
Millwrights,49-9044,6.6,43.0,33.3,13.6,3.1,0.3,0.2
"Refractory materials repairers, except brickmasons[1]",49-9045,9.1,40.2,26.4,16.8,6.6,0.7,0.2
Electrical power-line installers and repairers,49-9051,3.5,40.2,30.3,17.1,7.6,1.0,0.2
Telecommunications line installers and repairers,49-9052,5.1,35.6,32.7,14.7,10.3,1.5,0.0
Camera and photographic equipment repairers[1],49-9061,3.4,22.0,27.1,25.1,17.9,4.0,0.5
Medical equipment repairers[1],49-9062,3.4,22.0,27.1,25.1,17.9,4.0,0.5
Musical instrument repairers and tuners[1],49-9063,3.4,22.0,27.1,25.1,17.9,4.0,0.5
Watch and clock repairers[1],49-9064,3.4,22.0,27.1,25.1,17.9,4.0,0.5
"Precision instrument and equipment repairers, all other[1]",49-9069,3.4,22.0,27.1,25.1,17.9,4.0,0.5
"Maintenance and repair workers, general",49-9071,11.9,42.7,24.6,12.4,7.1,1.0,0.4
Wind turbine service technicians[1],49-9081,14.2,38.8,26.4,9.3,9.4,1.5,0.2
"Coin, vending, and amusement machine servicers and repairers",49-9091,6.6,38.3,28.1,13.6,12.3,0.8,0.2
Commercial divers[1],49-9092,14.2,38.8,26.4,9.3,9.4,1.5,0.2
Locksmiths and safe repairers,49-9094,6.3,44.3,29.4,9.2,8.5,2.0,0.3
Manufactured building and mobile home installers[1],49-9095,14.2,38.8,26.4,9.3,9.4,1.5,0.2
Riggers,49-9096,7.9,43.0,29.5,8.7,7.9,2.6,0.3
Signal and track switch repairers[1],49-9097,14.2,38.8,26.4,9.3,9.4,1.5,0.2
"Helpers--installation, maintenance, and repair workers",49-9098,25.1,43.7,19.8,3.6,7.6,0.3,0.0
"Installation, maintenance, and repair workers, all other[1]",49-9099,14.2,38.8,26.4,9.3,9.4,1.5,0.2
First-line supervisors of production and operating workers,51-1011,9.8,38.0,25.3,9.8,13.4,3.3,0.4
"Aircraft structure, surfaces, rigging, and systems assemblers[1]",51-2011,16.5,47.2,21.2,7.4,6.6,0.9,0.3
"Coil winders, tapers, and finishers[1]",51-2021,16.9,44.5,21.8,9.5,6.3,0.7,0.4
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers[1]",51-2028,16.9,44.5,21.8,9.5,6.3,0.7,0.4
Engine and other machine assemblers,51-2031,6.8,41.7,38.1,7.3,5.3,0.8,0.0
Structural metal fabricators and fitters,51-2041,14.4,48.3,22.5,9.5,4.0,1.2,0.0
Fiberglass laminators and fabricators[1],51-2051,16.5,47.2,21.2,7.4,6.6,0.9,0.3
Timing device assemblers and adjusters[1],51-2061,16.5,47.2,21.2,7.4,6.6,0.9,0.3
Miscellaneous assemblers and fabricators[1],51-2090,16.5,47.2,21.2,7.4,6.6,0.9,0.3
Bakers,51-3011,18.8,35.1,20.6,9.6,13.3,2.1,0.6
Butchers and meat cutters[1],51-3021,28.2,42.9,18.4,5.3,4.4,0.5,0.3
"Meat, poultry, and fish cutters and trimmers[1]",51-3022,28.2,42.9,18.4,5.3,4.4,0.5,0.3
Slaughterers and meat packers[1],51-3023,28.2,42.9,18.4,5.3,4.4,0.5,0.3
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,7.2,42.3,21.7,8.9,17.8,2.1,0.0
Food batchmakers,51-3092,16.8,39.4,23.4,8.7,10.3,1.1,0.4
Food cooking machine operators and tenders,51-3093,21.5,48.1,14.1,6.7,8.0,0.5,1.1
"Food processing workers, all other",51-3099,22.6,47.3,18.9,6.3,3.8,0.7,0.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic[1]",51-4021,14.0,50.7,23.9,6.8,3.6,0.4,0.6
"Forging machine setters, operators, and tenders, metal and plastic[1]",51-4022,14.0,50.7,23.9,6.8,3.6,0.4,0.6
"Rolling machine setters, operators, and tenders, metal and plastic[1]",51-4023,14.0,50.7,23.9,6.8,3.6,0.4,0.6
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,18.2,53.4,18.6,5.9,3.6,0.2,0.1
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic[1]",51-4032,18.4,42.8,28.8,5.8,3.9,0.2,0.0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,23.2,45.3,19.0,7.3,4.6,0.5,0.1
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic[1]",51-4034,18.4,42.8,28.8,5.8,3.9,0.2,0.0
"Milling and planing machine setters, operators, and tenders, metal and plastic[1]",51-4035,18.4,42.8,28.8,5.8,3.9,0.2,0.0
Machinists,51-4041,8.9,45.8,27.3,13.0,4.3,0.6,0.2
Metal-refining furnace operators and tenders[1],51-4051,10.7,58.0,20.3,7.3,2.3,1.1,0.4
"Pourers and casters, metal[1]",51-4052,10.7,58.0,20.3,7.3,2.3,1.1,0.4
"Model makers, metal and plastic[1]",51-4061,10.7,44.6,25.7,11.7,6.7,0.5,0.1
"Patternmakers, metal and plastic[1]",51-4062,10.7,44.6,25.7,11.7,6.7,0.5,0.1
Foundry mold and coremakers[1],51-4071,10.7,44.6,25.7,11.7,6.7,0.5,0.1
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic[1]",51-4072,10.7,44.6,25.7,11.7,6.7,0.5,0.1
"Multiple machine tool setters, operators, and tenders, metal and plastic[1]",51-4081,16.8,49.1,20.3,7.9,4.6,1.0,0.2
Tool and die makers,51-4111,4.4,41.2,31.3,18.4,3.4,0.7,0.5
"Welders, cutters, solderers, and brazers[1]",51-4121,18.3,47.7,22.0,8.8,2.6,0.3,0.2
"Welding, soldering, and brazing machine setters, operators, and tenders[1]",51-4122,18.3,47.7,22.0,8.8,2.6,0.3,0.2
"Heat treating equipment setters, operators, and tenders, metal and plastic[1]",51-4191,16.8,49.1,20.3,7.9,4.6,1.0,0.2
"Layout workers, metal and plastic[1]",51-4192,16.8,49.1,20.3,7.9,4.6,1.0,0.2
"Plating machine setters, operators, and tenders, metal and plastic[1]",51-4193,16.8,49.1,20.3,7.9,4.6,1.0,0.2
"Tool grinders, filers, and sharpeners[1]",51-4194,16.8,49.1,20.3,7.9,4.6,1.0,0.2
"Metal workers and plastic workers, all other[1]",51-4199,16.8,49.1,20.3,7.9,4.6,1.0,0.2
Prepress technicians and workers,51-5111,6.6,29.5,25.4,11.3,23.6,3.0,0.7
Printing press operators,51-5112,11.3,44.4,23.8,9.4,10.1,0.7,0.3
Print binding and finishing workers,51-5113,15.3,48.5,22.6,3.2,7.3,2.9,0.2
Laundry and dry-cleaning workers,51-6011,31.6,43.4,13.1,4.3,6.5,0.9,0.1
"Pressers, textile, garment, and related materials",51-6021,33.4,43.5,15.5,2.3,5.0,0.0,0.3
Sewing machine operators,51-6031,35.0,36.0,14.9,5.6,6.8,1.4,0.2
Shoe and leather workers and repairers[1],51-6041,12.9,40.1,27.2,6.6,10.3,1.6,1.3
Shoe machine operators and tenders[1],51-6042,12.9,40.1,27.2,6.6,10.3,1.6,1.3
"Sewers, hand[1]",51-6051,21.2,29.3,18.5,9.7,16.7,4.0,0.5
"Tailors, dressmakers, and custom sewers[1]",51-6052,21.2,29.3,18.5,9.7,16.7,4.0,0.5
Textile bleaching and dyeing machine operators and tenders[1],51-6061,33.3,39.8,13.2,6.6,6.0,1.0,0.0
"Textile cutting machine setters, operators, and tenders[1]",51-6062,33.3,39.8,13.2,6.6,6.0,1.0,0.0
"Textile knitting and weaving machine setters, operators, and tenders[1]",51-6063,33.3,39.8,13.2,6.6,6.0,1.0,0.0
"Textile winding, twisting, and drawing out machine setters, operators, and tenders[1]",51-6064,33.3,39.8,13.2,6.6,6.0,1.0,0.0
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers[1]",51-6091,16.7,39.8,15.8,6.2,18.1,3.1,0.3
Fabric and apparel patternmakers[1],51-6092,16.7,39.8,15.8,6.2,18.1,3.1,0.3
Upholsterers,51-6093,27.2,37.7,19.0,7.4,7.2,1.1,0.4
"Textile, apparel, and furnishings workers, all other[1]",51-6099,16.7,39.8,15.8,6.2,18.1,3.1,0.3
Cabinetmakers and bench carpenters,51-7011,19.7,47.7,19.3,5.9,5.6,1.1,0.6
Furniture finishers,51-7021,17.5,43.6,21.4,3.6,9.7,3.8,0.3
"Model makers, wood[1]",51-7031,13.7,36.3,24.0,6.4,16.5,2.8,0.3
"Patternmakers, wood[1]",51-7032,13.7,36.3,24.0,6.4,16.5,2.8,0.3
"Sawing machine setters, operators, and tenders, wood",51-7041,28.4,47.0,15.7,3.2,4.9,0.5,0.2
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,30.3,50.3,11.1,3.4,3.3,0.9,0.6
"Woodworkers, all other[1]",51-7099,13.7,36.3,24.0,6.4,16.5,2.8,0.3
Nuclear power reactor operators[1],51-8011,1.9,23.7,31.2,20.1,19.0,3.9,0.2
Power distributors and dispatchers[1],51-8012,1.9,23.7,31.2,20.1,19.0,3.9,0.2
Power plant operators[1],51-8013,1.9,23.7,31.2,20.1,19.0,3.9,0.2
Stationary engineers and boiler operators,51-8021,6.5,39.7,26.7,10.7,12.3,2.9,1.2
Water and wastewater treatment plant and system operators,51-8031,4.7,38.3,30.7,12.4,11.5,2.1,0.3
Chemical plant and system operators[1],51-8091,7.2,38.3,24.2,16.7,11.1,2.3,0.3
Gas plant operators[1],51-8092,7.2,38.3,24.2,16.7,11.1,2.3,0.3
"Petroleum pump system operators, refinery operators, and gaugers[1]",51-8093,7.2,38.3,24.2,16.7,11.1,2.3,0.3
"Plant and system operators, all other[1]",51-8099,7.2,38.3,24.2,16.7,11.1,2.3,0.3
Chemical equipment operators and tenders[1],51-9011,6.3,28.9,25.2,10.4,22.9,5.1,1.3
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders[1]",51-9012,6.3,28.9,25.2,10.4,22.9,5.1,1.3
"Crushing, grinding, and polishing machine setters, operators, and tenders[1]",51-9021,17.6,46.8,18.6,9.0,6.3,1.3,0.5
"Grinding and polishing workers, hand[1]",51-9022,17.6,46.8,18.6,9.0,6.3,1.3,0.5
"Mixing and blending machine setters, operators, and tenders[1]",51-9023,17.6,46.8,18.6,9.0,6.3,1.3,0.5
"Cutters and trimmers, hand[1]",51-9031,24.9,48.7,16.4,5.0,4.2,0.8,0.0
"Cutting and slicing machine setters, operators, and tenders[1]",51-9032,24.9,48.7,16.4,5.0,4.2,0.8,0.0
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,17.9,53.5,17.6,5.1,5.1,0.7,0.1
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,9.4,48.4,22.3,10.6,7.8,1.5,0.0
"Inspectors, testers, sorters, samplers, and weighers",51-9061,8.5,35.2,25.9,11.7,14.5,3.6,0.7
Jewelers and precious stone and metal workers,51-9071,11.0,25.1,22.6,8.9,26.1,4.7,1.7
Dental laboratory technicians[1],51-9081,5.5,27.7,29.8,17.9,16.1,1.9,1.1
Medical appliance technicians[1],51-9082,5.5,27.7,29.8,17.9,16.1,1.9,1.1
Ophthalmic laboratory technicians[1],51-9083,5.5,27.7,29.8,17.9,16.1,1.9,1.1
Packaging and filling machine operators and tenders,51-9111,31.9,41.2,15.3,5.0,5.6,0.9,0.1
"Painting, coating, and decorating workers[1]",51-9123,23.9,45.9,19.5,6.4,3.8,0.5,0.1
"Coating, painting, and spraying machine setters, operators, and tenders[1]",51-9124,23.9,45.9,19.5,6.4,3.8,0.5,0.1
Semiconductor processing technicians[1],51-9141,17.5,46.5,19.6,7.3,7.4,1.3,0.4
Photographic process workers and processing machine operators,51-9151,3.4,12.9,16.3,8.6,41.4,15.5,1.9
Computer numerically controlled tool operators[1],51-9161,9.2,39.6,26.1,14.3,9.0,1.2,0.6
Computer numerically controlled tool programmers[1],51-9162,9.2,39.6,26.1,14.3,9.0,1.2,0.6
Adhesive bonding machine operators and tenders,51-9191,19.8,52.1,20.9,5.2,2.0,0.0,0.0
"Cleaning, washing, and metal pickling equipment operators and tenders[1]",51-9192,17.5,46.5,19.6,7.3,7.4,1.3,0.4
Cooling and freezing equipment operators and tenders[1],51-9193,17.5,46.5,19.6,7.3,7.4,1.3,0.4
Etchers and engravers,51-9194,5.9,32.4,35.1,10.3,12.6,3.7,0.0
"Molders, shapers, and casters, except metal and plastic",51-9195,20.6,32.5,21.8,4.1,14.9,4.6,1.6
"Paper goods machine setters, operators, and tenders",51-9196,21.7,42.5,18.0,7.0,9.1,1.2,0.4
Tire builders,51-9197,13.1,54.3,24.3,4.3,2.9,1.2,0.0
Helpers--production workers,51-9198,26.0,42.1,15.3,5.4,8.0,2.8,0.5
"Production workers, all other[1]",51-9199,17.5,46.5,19.6,7.3,7.4,1.3,0.4
Aircraft cargo handling supervisors[1],53-1041,8.1,36.6,27.8,9.9,14.8,2.5,0.4
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[1]",53-1047,8.1,36.6,27.8,9.9,14.8,2.5,0.4
"Airline pilots, copilots, and flight engineers[1]",53-2011,0.5,5.0,10.9,7.7,59.2,14.6,2.1
Commercial pilots[1],53-2012,0.5,5.0,10.9,7.7,59.2,14.6,2.1
Air traffic controllers[1],53-2021,0.9,8.5,25.8,20.0,37.6,5.6,1.6
Airfield operations specialists[1],53-2022,0.9,8.5,25.8,20.0,37.6,5.6,1.6
Flight attendants,53-2031,1.4,12.3,29.8,13.3,35.5,7.0,0.8
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,3.8,27.5,38.9,8.4,15.9,5.1,0.5
Driver/sales workers[1],53-3031,15.0,47.4,22.8,7.0,6.3,1.2,0.3
Heavy and tractor-trailer truck drivers[1],53-3032,15.0,47.4,22.8,7.0,6.3,1.2,0.3
Light truck drivers[1],53-3033,15.0,47.4,22.8,7.0,6.3,1.2,0.3
"Bus drivers, school",53-3051,7.8,42.8,26.3,10.4,9.6,2.6,0.5
"Bus drivers, transit and intercity",53-3052,9.1,41.1,28.2,11.0,8.7,1.5,0.4
Shuttle drivers and chauffeurs,53-3053,16.6,32.2,26.0,7.7,14.5,2.1,0.8
Taxi drivers,53-3054,13.5,32.1,22.6,8.2,17.5,4.6,1.4
"Motor vehicle operators, all other",53-3099,12.8,38.9,24.1,9.4,11.6,2.6,0.6
Locomotive engineers[1],53-4011,1.8,40.4,34.2,11.2,10.4,1.7,0.3
"Rail yard engineers, dinkey operators, and hostlers[1]",53-4013,1.8,40.4,34.2,11.2,10.4,1.7,0.3
"Railroad brake, signal, and switch operators and locomotive firers[1]",53-4022,3.4,45.5,28.7,8.2,11.9,1.8,0.5
Railroad conductors and yardmasters,53-4031,2.6,37.2,31.5,11.6,14.7,1.9,0.5
Subway and streetcar operators[1],53-4041,3.4,45.5,28.7,8.2,11.9,1.8,0.5
"Rail transportation workers, all other[1]",53-4099,3.4,45.5,28.7,8.2,11.9,1.8,0.5
Sailors and marine oilers[1],53-5011,9.9,44.0,21.9,8.6,13.8,1.8,0.0
"Captains, mates, and pilots of water vessels[1]",53-5021,5.1,40.2,21.7,7.0,19.7,5.9,0.4
Motorboat operators[1],53-5022,5.1,40.2,21.7,7.0,19.7,5.9,0.4
Ship engineers[1],53-5031,9.9,44.0,21.9,8.6,13.8,1.8,0.0
Bridge and lock tenders[1],53-6011,4.8,29.4,26.2,10.9,17.3,9.5,1.9
Parking attendants,53-6021,17.5,40.1,20.4,8.5,10.9,1.9,0.7
Automotive and watercraft service attendants[1],53-6031,14.6,43.3,23.2,8.1,9.6,0.9,0.3
Aircraft service attendants[1],53-6032,14.6,43.3,23.2,8.1,9.6,0.9,0.3
Traffic technicians[1],53-6041,4.8,29.4,26.2,10.9,17.3,9.5,1.9
Transportation inspectors,53-6051,4.2,29.0,30.5,18.0,13.8,3.7,0.8
Passenger attendants,53-6061,7.6,46.8,25.5,8.9,8.0,2.2,0.9
"Transportation workers, all other[1]",53-6099,4.8,29.4,26.2,10.9,17.3,9.5,1.9
Conveyor operators and tenders[1],53-7011,18.7,50.3,19.1,7.5,3.5,0.8,0.1
Crane and tower operators,53-7021,12.4,51.3,25.0,7.9,3.0,0.4,0.0
Dredge operators[1],53-7031,18.7,50.3,19.1,7.5,3.5,0.8,0.1
Hoist and winch operators[1],53-7041,18.7,50.3,19.1,7.5,3.5,0.8,0.1
Industrial truck and tractor operators,53-7051,19.1,52.8,18.5,5.3,3.5,0.6,0.2
Cleaners of vehicles and equipment,53-7061,27.9,42.9,16.8,5.9,5.2,0.9,0.4
"Laborers and freight, stock, and material movers, hand",53-7062,16.0,46.5,21.5,7.2,7.2,1.2,0.4
Machine feeders and offbearers,53-7063,18.2,45.0,20.7,5.7,9.0,1.2,0.2
"Packers and packagers, hand",53-7064,27.5,40.8,16.3,6.2,7.3,1.4,0.3
Stockers and order fillers,53-7065,12.1,43.3,23.6,8.5,10.3,1.9,0.4
Gas compressor and gas pumping station operators[1],53-7071,14.0,45.1,25.5,6.8,7.8,0.7,0.2
"Pump operators, except wellhead pumpers[1]",53-7072,14.0,45.1,25.5,6.8,7.8,0.7,0.2
Wellhead pumpers[1],53-7073,14.0,45.1,25.5,6.8,7.8,0.7,0.2
Refuse and recyclable material collectors,53-7081,25.2,48.8,16.1,3.7,5.2,0.7,0.4
"Tank car, truck, and ship loaders[1]",53-7121,14.4,51.5,19.8,6.4,6.6,1.0,0.4
"Material moving workers, all other[1]",53-7199,14.4,51.5,19.8,6.4,6.6,1.0,0.4
